A21402	sehen				sieht, hat gesehen	Ich habe Lisa lange nicht gesehen. Ist sie im Urlaub?	to see	I haven't seen Lisa for a long time. Is she on holiday?	[sound:word_A21402.mp3]	[sound:sentence_A21402.mp3]
A21403	sehen				sieht, hat gesehen	Darf ich mal Ihren Ausweis sehen?	to see	May I see your ID?	[sound:word_A21403.mp3]	[sound:sentence_A21403.mp3]
A21404	Sehenswürdigkeit	die	-en			Welche Sehenswürdigkeiten gibt es in Frankfurt?	point of interest	What sights are there in Frankfurt?	[sound:word_A21404.mp3]	[sound:sentence_A21404.mp3]
A21405	sehr					Danke sehr!	very	Thank you very much!	[sound:word_A21405.mp3]	[sound:sentence_A21405.mp3]
A21406	sehr					Das Wetter ist heute sehr schön.	very	The weather is very nice today.	[sound:word_A21406.mp3]	[sound:sentence_A21406.mp3]
A21407	Seife	die	-n			Hier gibt es keine Seife.	soap	There is no soap here.	[sound:word_A21407.mp3]	[sound:sentence_A21407.mp3]
A21408	sein			2 Sätze pro Beispielsatz	ist, war, ist gewesen	Das sind meine Kollegen. Ich bin Mechaniker.	to be	These are my colleagues. I am a mechanic.	[sound:word_A21408.mp3]	[sound:sentence_A21408.mp3]
A21409	sein			2 Sätze pro Beispielsatz	ist, war, ist gewesen	Die Cola ist kalt. Mir ist kalt.	to be	The cola is cold. I'm cold.	[sound:word_A21409.mp3]	[sound:sentence_A21409.mp3]
A21410	sein			2 Sätze pro Beispielsatz	ist, war, ist gewesen	Ich bin dreiundzwanzig. Um halb elf ist Pause.	to be	I'm twenty-three. There's a break at half past ten.	[sound:word_A21410.mp3]	[sound:sentence_A21410.mp3]
A21411	sein			2 Sätze pro Beispielsatz	ist, war, ist gewesen	Frau Berger ist im Urlaub.	to be	Mrs Berger is on holiday.	[sound:word_A21411.mp3]	[sound:sentence_A21411.mp3]
A21412	an sein					Das Licht ist noch an.	to be on	The light is still on.	[sound:word_A21412.mp3]	[sound:sentence_A21412.mp3]
A21413	aus sein					Das Licht ist schon aus.	be off	The light is already off.	[sound:word_A21413.mp3]	[sound:sentence_A21413.mp3]
A21414	auf sein					Das Fenster ist noch auf.	to be up	The window is still open.	[sound:word_A21414.mp3]	[sound:sentence_A21414.mp3]
A21415	weg sein					Herr Meier ist schon weg.	to be away	Mr Meier has already left.	[sound:word_A21415.mp3]	[sound:sentence_A21415.mp3]
A21416	zu sein					Die Tür ist zu.	to be closed	The door is closed.	[sound:word_A21416.mp3]	[sound:sentence_A21416.mp3]
A21417	seit					Ich wohne seit drei Jahren in Köln.	since	I've lived in Cologne for three years.	[sound:word_A21417.mp3]	[sound:sentence_A21417.mp3]
A21418	Seite	die	-n			Öffnen Sie das Kursbuch auf Seite 20.	page	Open the course book on page 20.	[sound:word_A21418.mp3]	[sound:sentence_A21418.mp3]
A21419	Seite	die	-n			Das ist die Bachstraße. Mein Haus ist auf der linken Seite.	page	This is Bachstraße. My house is on the left-hand side.	[sound:word_A21419.mp3]	[sound:sentence_A21419.mp3]
A21420	selbst					Du musst mir nicht helfen, ich mache das selbst.	in person / even	You don't have to help me, I'll do it myself.	[sound:word_A21420.mp3]	[sound:sentence_A21420.mp3]
A21421	Sendung	die	-en			Welche Sendungen schaust du gern an? - Ich mag Sportsendungen.	program / show / broadcast	What programmes do you like to watch? - I like sports programmes.	[sound:word_A21421.mp3]	[sound:sentence_A21421.mp3]
A21422	Sendung	die	-en			Diese Sendung ist nicht für Jugendliche unter 18 Jahren.	program / show / broadcast	This programme is not for young people under the age of 18.	[sound:word_A21422.mp3]	[sound:sentence_A21422.mp3]
A21423	Service	der	(Sg.)			Ich bin mit dem Service in der Werkstatt sehr zufrieden.	service	I am very satisfied with the service in the workshop.	[sound:word_A21423.mp3]	[sound:sentence_A21423.mp3]
A21424	sich setzen				setzt, hat gesetzt	Setz dich doch!	to sit down	Why don't you sit down?	[sound:word_A21424.mp3]	[sound:sentence_A21424.mp3]
A21425	sicher					Dieses Auto ist besonders sicher.	for sure	This car is particularly safe.	[sound:word_A21425.mp3]	[sound:sentence_A21425.mp3]
A21426	sicher					Ich bin ganz sicher, dass er kommt.	for sure	I am quite sure that he will come.	[sound:word_A21426.mp3]	[sound:sentence_A21426.mp3]
A21427	sicher					Er ist sicher gleich da.	for sure	I'm sure he'll be right there.	[sound:word_A21427.mp3]	[sound:sentence_A21427.mp3]
A21428	singen				singt, hat gesungen	Er singt gern.	to sing	He likes to sing.	[sound:word_A21428.mp3]	[sound:sentence_A21428.mp3]
A21429	Situation	die	-en			Ich bin in einer schwierigen Situation. Ich weiß nicht, was ich tun soll.	situation	I'm in a difficult situation. I don't know what to do.	[sound:word_A21429.mp3]	[sound:sentence_A21429.mp3]
A21430	Situation	die	-en			Lesen Sie die Anzeigen und die Aufgaben 11-15. Welche Anzeige passt zu welcher Situation?	situation	Read the adverts and tasks 11-15. Which advert fits which situation?	[sound:word_A21430.mp3]	[sound:sentence_A21430.mp3]
A21431	sitzen				sitzt, hat gesessen, ist gesessen	Wo möchten Sie sitzen? - Bitte ganz hinten.	to sit	Where would you like to sit? - Right at the back, please.	[sound:word_A21431.mp3]	[sound:sentence_A21431.mp3]
A21432	Ski	der	- / -er			Gehen wir am Wochenende Ski fahren?	ski	Are we going skiing at the weekend?	[sound:word_A21432.mp3]	[sound:sentence_A21432.mp3]
A21433	Ski	der	- / -er			Er kauft sich neue Ski.	ski	He buys new skis.	[sound:word_A21433.mp3]	[sound:sentence_A21433.mp3]
A21434	so					Sie müssen das so machen!	so / as	You have to do it like this!	[sound:word_A21434.mp3]	[sound:sentence_A21434.mp3]
A21435	so					Fahren Sie bitte nicht so schnell!	so / as	Please do not drive so fast!	[sound:word_A21435.mp3]	[sound:sentence_A21435.mp3]
A21436	so					Meine Frau ist so groß wie ich.	so / as	My wife is as tall as I am.	[sound:word_A21436.mp3]	[sound:sentence_A21436.mp3]
A21437	so					So, das war‘s!	so / as	So, that's it!	[sound:word_A21437.mp3]	[sound:sentence_A21437.mp3]
A21438	Sofa	das	-s			Das Sofa ist bequem.	sofa	The sofa is comfortable.	[sound:word_A21438.mp3]	[sound:sentence_A21438.mp3]
A21439	sofort					Bitte antworten Sie sofort.	immediately	Please reply immediately.	[sound:word_A21439.mp3]	[sound:sentence_A21439.mp3]
A21440	sofort					Sie können sich ab sofort für den Kurs anmelden.	immediately	You can register for the course now.	[sound:word_A21440.mp3]	[sound:sentence_A21440.mp3]
A21441	sogar					Heute ist es sehr kalt. In den Bergen schneit es sogar.	even	It's very cold today. It's even snowing in the mountains.	[sound:word_A21441.mp3]	[sound:sentence_A21441.mp3]
A21442	sogar					Zu meiner Hochzeit kommen viele Gäste. Sogar meine Tante aus Kanada kommt.	even	A lot of guests are coming to my wedding. Even my aunt from Canada is coming.	[sound:word_A21442.mp3]	[sound:sentence_A21442.mp3]
A21443	sollen				soll, sollte	Wann soll ich kommen und was soll ich mitbringen?	should / shall	When should I come and what should I bring?	[sound:word_A21443.mp3]	[sound:sentence_A21443.mp3]
A21444	sollen				soll, sollte	Und, was hat der Arzt gesagt? - Ich soll drei Tage im Bett bleiben und viel Tee trinken.	should / shall	So, what did the doctor say? - I should stay in bed for three days and drink lots of tea.	[sound:word_A21444.mp3]	[sound:sentence_A21444.mp3]
A21445	Sonne	die	-n			Die Sonne scheint.	sun	The sun is shining.	[sound:word_A21445.mp3]	[sound:sentence_A21445.mp3]
A21446	sonnig					Morgen ist das Wetter wieder warm und sonnig.	sunny	The weather will be warm and sunny again tomorrow.	[sound:word_A21446.mp3]	[sound:sentence_A21446.mp3]
A21447	sonst					Haben Sie sonst noch einen Wunsch? - Nein danke, das ist alles.	otherwise	Do you have any other wishes? - No thanks, that's all.	[sound:word_A21447.mp3]	[sound:sentence_A21447.mp3]
A21448	sonst					Beeil dich, sonst kommen wir zu spät!	otherwise	Hurry up, otherwise we'll be too late!	[sound:word_A21448.mp3]	[sound:sentence_A21448.mp3]
A21449	spannend					Ich finde den Film sehr spannend.	exciting	I find the film very exciting.	[sound:word_A21449.mp3]	[sound:sentence_A21449.mp3]
A21450	sparen				spart, hat gespart	Ein neues Auto ist sehr teuer. Ich muss sparen.	to save (sth.)	A new car is very expensive. I have to save money.	[sound:word_A21450.mp3]	[sound:sentence_A21450.mp3]
A21451	Spaß	der	(Sg.)			Meine Arbeit macht mir Spaß.	fun	I enjoy my work.	[sound:word_A21451.mp3]	[sound:sentence_A21451.mp3]
A21452	Spaß	der	(Sg.)			Ich will nicht aufräumen. Das macht mir keinen Spaß.	fun	I don't want to tidy up. I don't enjoy it.	[sound:word_A21452.mp3]	[sound:sentence_A21452.mp3]
A21453	Spaß	der	(Sg.)			Viel Spaß!	fun	Have fun!	[sound:word_A21453.mp3]	[sound:sentence_A21453.mp3]
A21454	spät					Es ist schon spät, ich muss gehen.	late	It's getting late, I have to go.	[sound:word_A21454.mp3]	[sound:sentence_A21454.mp3]
A21455	später					Das können wir später machen.	later	We can do that later.	[sound:word_A21455.mp3]	[sound:sentence_A21455.mp3]
A21456	spazieren gehen				geht spazieren, ist spazieren gegangen	Wir gehen sonntags immer spazieren.	to go for a walk	We always go for a walk on Sundays.	[sound:word_A21456.mp3]	[sound:sentence_A21456.mp3]
A21457	Spaziergang	der	"""-e"			Abends mache ich immer einen Spaziergang.	walk	I always go for a walk in the evening.	[sound:word_A21457.mp3]	[sound:sentence_A21457.mp3]
A21458	speichern				speichert, hat gespeichert	Sie müssen die Datei speichern.	to save	You must save the file.	[sound:word_A21458.mp3]	[sound:sentence_A21458.mp3]
A21459	Speisekarte	die	-n			Entschuldigung, bringen Sie uns bitte die Speisekarte.	menu	Excuse me, please bring us the menu.	[sound:word_A21459.mp3]	[sound:sentence_A21459.mp3]
A21460	Spiel	das	-e			Welche Kartenspiele kennen Sie?	game	Which card games do you know?	[sound:word_A21460.mp3]	[sound:sentence_A21460.mp3]
A21461	Spiel	das	-e			Monopoly ist ein sehr bekanntes Spiel.	game	Monopoly is a very well-known game.	[sound:word_A21461.mp3]	[sound:sentence_A21461.mp3]
A21462	spielen				spielt, hat gespielt	Die Kinder spielen draußen.	to play	The children play outside.	[sound:word_A21462.mp3]	[sound:sentence_A21462.mp3]
A21463	spielen				spielt, hat gespielt	Spielen Sie Karten?	to play	Do you play cards?	[sound:word_A21463.mp3]	[sound:sentence_A21463.mp3]
A21464	spielen				spielt, hat gespielt	Jakob spielt Klavier.	to play	Jakob plays the piano.	[sound:word_A21464.mp3]	[sound:sentence_A21464.mp3]
A21465	Sport	der	(Sg.)			Ich mache viel Sport.	sport	I do a lot of sport.	[sound:word_A21465.mp3]	[sound:sentence_A21465.mp3]
A21466	sportlich					Tom ist sehr sportlich.	athletic	Tom is very sporty.	[sound:word_A21466.mp3]	[sound:sentence_A21466.mp3]
A21467	Sportplatz	der	"""-e"			Das Fußballtraining ist um 17 Uhr auf dem Sportplatz.	sports ground	Football training is at 5 pm on the sports field.	[sound:word_A21467.mp3]	[sound:sentence_A21467.mp3]
A21468	Sprache	die	-n			Welche Sprachen sprechen Sie?	language	Which languages do you speak?	[sound:word_A21468.mp3]	[sound:sentence_A21468.mp3]
A21469	sprechen				spricht, hat gesprochen	Welche Sprachen sprichst du? - Ich spreche Englisch und Spanisch.	to speak	What languages do you speak? - I speak English and Spanish.	[sound:word_A21469.mp3]	[sound:sentence_A21469.mp3]
A21470	sprechen				spricht, hat gesprochen	Kann ich mit Herrn Klein sprechen?	to speak	Can I speak to Mr Klein?	[sound:word_A21470.mp3]	[sound:sentence_A21470.mp3]
A21471	sprechen				spricht, hat gesprochen	Kann ich Herrn Klein sprechen?	to speak	Can I speak to Mr Klein?	[sound:word_A21471.mp3]	[sound:sentence_A21471.mp3]
A21472	Sprechstunde	die	-n			Frau Doktor Weiß hat von 9:00 bis 12:30 Uhr Sprechstunde.	consultation hour	Doctor Weiß has consultation hours from 9:00 to 12:30.	[sound:word_A21472.mp3]	[sound:sentence_A21472.mp3]
A21473	Stadt	die	"""-e"			Heidelberg ist eine alte Stadt.	city	Heidelberg is an old city.	[sound:word_A21473.mp3]	[sound:sentence_A21473.mp3]
A21474	Stadtplan	der	"""-e"			Haben Sie einen Stadtplan von Salzburg?	map / city map	Do you have a city map of Salzburg?	[sound:word_A21474.mp3]	[sound:sentence_A21474.mp3]
A21475	Star	der	-s			Diese Sängerin ist ein Star in Deutschland.	star	This singer is a star in Germany.	[sound:word_A21475.mp3]	[sound:sentence_A21475.mp3]
A21476	stark					Ich habe starke Kopfschmerzen.	strong	I have a severe headache.	[sound:word_A21476.mp3]	[sound:sentence_A21476.mp3]
A21477	stark					Es regnet stark.	strong	It is raining heavily.	[sound:word_A21477.mp3]	[sound:sentence_A21477.mp3]
A21478	stark					Der Kaffee ist sehr stark.	strong	The coffee is very strong.	[sound:word_A21478.mp3]	[sound:sentence_A21478.mp3]
A21479	stattfinden				findet statt, hat stattgefunden	Das Spiel findet auch bei Regen statt.	to take place / to occur	The game also takes place in the rain.	[sound:word_A21479.mp3]	[sound:sentence_A21479.mp3]
A21480	stehen				steht, hat gestanden, ist gestanden	Der Bus steht schon an der Haltestelle.	to stand	The bus is already at the bus stop.	[sound:word_A21480.mp3]	[sound:sentence_A21480.mp3]
A21481	stehen				steht, hat gestanden, ist gestanden	Ich bin Verkäuferin. In meinem Beruf muss ich viel stehen.	to stand	I am a sales assistant. I have to stand a lot in my job.	[sound:word_A21481.mp3]	[sound:sentence_A21481.mp3]
A21482	stehen				steht, hat gestanden, ist gestanden	Was steht heute in der Zeitung?	to stand	What's in the paper today?	[sound:word_A21482.mp3]	[sound:sentence_A21482.mp3]
A21483	Stelle	die	-n			Ich habe eine neue Stelle. Ich arbeite jetzt bei Mercedes.	location	I have a new job. I now work at Mercedes.	[sound:word_A21483.mp3]	[sound:sentence_A21483.mp3]
A21484	Stelle	die	-n			Wir treffen uns hier an dieser Stelle.	location	We meet here at this point.	[sound:word_A21484.mp3]	[sound:sentence_A21484.mp3]
A21485	stellen				stellt, hat gestellt	Stell die Milch bitte in den Kühlschrank!	to put	Please put the milk in the fridge!	[sound:word_A21485.mp3]	[sound:sentence_A21485.mp3]
A21486	sterben				stirbt, ist gestorben	Herr Müller kommt heute nicht. Sein Vater ist gestern gestorben.	to die	Mr Müller is not coming today. His father died yesterday.	[sound:word_A21486.mp3]	[sound:sentence_A21486.mp3]
A21487	Stiefel	der	-			Wie viel kosten die roten Stiefel?	boots	How much do the red boots cost?	[sound:word_A21487.mp3]	[sound:sentence_A21487.mp3]
A21488	Stift	der	-e			Kannst du mir bitte einen Stift geben? - Was brauchst du? Einen Farbstift oder einen Bleistift oder einen Kugelschreiber?	pen	Can you give me a pen, please? - What do you need? A coloured pen or a pencil or a biro?	[sound:word_A21488.mp3]	[sound:sentence_A21488.mp3]
A21489	Stipendium	das	-en			Wenn ich ein gutes Zeugnis habe, bekomme ich ein Stipendium.	scholarship	If I have a good certificate, I'll get a scholarship.	[sound:word_A21489.mp3]	[sound:sentence_A21489.mp3]
A21490	Stock	der	"""-e"			Unsere Wohnung liegt im ersten Stock.	floor	Our flat is on the first floor.	[sound:word_A21490.mp3]	[sound:sentence_A21490.mp3]
A21491	Stockwerk	das	-e			Das Gebäude hat zwanzig Stockwerke.	level / floor	The building has twenty floors.	[sound:word_A21491.mp3]	[sound:sentence_A21491.mp3]
A21492	stören				stört, hat gestört	Störe ich?	to disturb	Am I interrupting?	[sound:word_A21492.mp3]	[sound:sentence_A21492.mp3]
A21493	stören				stört, hat gestört	Darf ich Sie kurz stören?	to disturb	May I interrupt you for a moment?	[sound:word_A21493.mp3]	[sound:sentence_A21493.mp3]
A21494	stören				stört, hat gestört	Mach die Musik leiser! Sie stört mich.	to disturb	Turn down the music! It disturbs me.	[sound:word_A21494.mp3]	[sound:sentence_A21494.mp3]
A21495	Strand	der	"""-e"			Im Urlaub bin ich am liebsten am Strand.	beach	My favourite place to be on holiday is the beach.	[sound:word_A21495.mp3]	[sound:sentence_A21495.mp3]
A21496	Straße	die	-n			In welcher Straße wohnen Sie?	road	Which street do you live in?	[sound:word_A21496.mp3]	[sound:sentence_A21496.mp3]
A21497	Straßenbahn	die	-en			Fahren wir mit der Straßenbahn oder mit der U-Bahn?	tram	Are we travelling by tram or underground?	[sound:word_A21497.mp3]	[sound:sentence_A21497.mp3]
A21498	sich streiten				streitet, hat gestritten	Die Kinder streiten sich oft.	to have a fight	The children often argue.	[sound:word_A21498.mp3]	[sound:sentence_A21498.mp3]
A21499	sich streiten				streitet, hat gestritten	Die Kinder streiten oft.	to have a fight	The children often argue.	[sound:word_A21499.mp3]	[sound:sentence_A21499.mp3]
A21500	streng					Der Lehrer von meiner Tochter ist sehr streng.	strict	My daughter's teacher is very strict.	[sound:word_A21500.mp3]	[sound:sentence_A21500.mp3]
A21501	Stress	der	(Sg.)			Ich habe bei der Arbeit viel Stress.	stress	I have a lot of stress at work.	[sound:word_A21501.mp3]	[sound:sentence_A21501.mp3]
A21502	stressig					Meine Arbeit ist stressig.	stressful	My work is stressful.	[sound:word_A21502.mp3]	[sound:sentence_A21502.mp3]
A21503	Stück	das	-e			Möchten Sie noch ein Stück Kuchen?	piece	Would you like another piece of cake?	[sound:word_A21503.mp3]	[sound:sentence_A21503.mp3]
A21504	Stück	das	-e			Im Theater spielen sie heute das Stück „Romeo und Julia“.	piece	"They are performing the play ""Romeo and Juliet"" in the theatre today."	[sound:word_A21504.mp3]	[sound:sentence_A21504.mp3]
A21505	Student	der	-en			Ich bin Student.	male student	I am a student.	[sound:word_A21505.mp3]	[sound:sentence_A21505.mp3]
A21506	Studentin	die	-nen			Ich bin Studentin.	female student	I am a student.	[sound:word_A21506.mp3]	[sound:sentence_A21506.mp3]
A21507	studieren				studiert, hat studiert	Ich studiere in Mainz.	to study	I study in Mainz.	[sound:word_A21507.mp3]	[sound:sentence_A21507.mp3]
A21508	Studium	das	(Sg.)			Das Studium dauert drei Jahre.	studies / academic studies	The degree programme lasts three years.	[sound:word_A21508.mp3]	[sound:sentence_A21508.mp3]
A21509	Stuhl	der	"""-e"			Ist der Stuhl frei?	chair	Is the chair free?	[sound:word_A21509.mp3]	[sound:sentence_A21509.mp3]
A21510	suchen				sucht, hat gesucht	Suchst du etwas?	to search	Are you looking for something?	[sound:word_A21510.mp3]	[sound:sentence_A21510.mp3]
A21511	suchen				sucht, hat gesucht	Ich suche meine Brille.	to search	I'm looking for my glasses.	[sound:word_A21511.mp3]	[sound:sentence_A21511.mp3]
A21512	suchen				sucht, hat gesucht	Wir suchen eine größere Wohnung.	to search	We are looking for a larger flat.	[sound:word_A21512.mp3]	[sound:sentence_A21512.mp3]
A21513	super					Er kann super tanzen.	great	He's a great dancer.	[sound:word_A21513.mp3]	[sound:sentence_A21513.mp3]
A21514	super					Der Film ist super.	great	The film is great.	[sound:word_A21514.mp3]	[sound:sentence_A21514.mp3]
A21515	Supermarkt	der	"""-e"			Ich kaufe oft im Supermarkt ein.	supermarket	I often shop at the supermarket.	[sound:word_A21515.mp3]	[sound:sentence_A21515.mp3]
A21516	Suppe	die	-n			Schmeckt dir die Suppe?	soup	Do you like the soup?	[sound:word_A21516.mp3]	[sound:sentence_A21516.mp3]
A21517	surfen				surft, hat gesurft, ist gesurft	Ich möchte gern surfen lernen.	to surf	I would like to learn to surf.	[sound:word_A21517.mp3]	[sound:sentence_A21517.mp3]
A21518	surfen				surft, hat gesurft, ist gesurft	Surfst du oft im Internet?	to surf	Do you surf the Internet often?	[sound:word_A21518.mp3]	[sound:sentence_A21518.mp3]
A21519	süß					Ich finde die Torte zu süß.	sweet	I think the cake is too sweet.	[sound:word_A21519.mp3]	[sound:sentence_A21519.mp3]
A21520	süß					Ist das deine Tochter? Die ist ja süß!	sweet	Is that your daughter? She's so cute!	[sound:word_A21520.mp3]	[sound:sentence_A21520.mp3]
A21521	Süßigkeiten	die	(Pl.)			Welche Süßigkeiten isst du am liebsten? - Schokolade und Eis.	sweets	What are your favourite sweets? - Chocolate and ice cream.	[sound:word_A21521.mp3]	[sound:sentence_A21521.mp3]
A21522	sympathisch					Der neue Chef ist sehr sympathisch.	likeable / friendly	The new boss is very likeable.	[sound:word_A21522.mp3]	[sound:sentence_A21522.mp3]
A21523	Tablet	das	-s			Hast du ein Tablet? - Nein, ich habe einen Laptop und ein Handy.	tablet	Do you have a tablet? - No, I have a laptop and a mobile phone.	[sound:word_A21523.mp3]	[sound:sentence_A21523.mp3]
A21524	Tablette	die	-n			Du sollst am Abend zwei Tabletten nehmen.	pill / tablet	You should take two tablets in the evening.	[sound:word_A21524.mp3]	[sound:sentence_A21524.mp3]
A21525	Tafel	die	-n			Der Lehrer schreibt das neue Wort an die Tafel.	whiteboard	The teacher writes the new word on the board.	[sound:word_A21525.mp3]	[sound:sentence_A21525.mp3]
A21526	Tafel	die	-n			Am Eingang gibt es Tafeln mit Informationen.	whiteboard	There are information boards at the entrance.	[sound:word_A21526.mp3]	[sound:sentence_A21526.mp3]
A21527	Tafel	die	-n			Die Infotafel ist am Eingang.	whiteboard	The information board is at the entrance.	[sound:word_A21527.mp3]	[sound:sentence_A21527.mp3]
A21528	tanzen				tanzt, hat getanzt	Tanzen Sie gern?	to dance	Do you like dancing?	[sound:word_A21528.mp3]	[sound:sentence_A21528.mp3]
A21529	Tasche	die	-n			Ich habe die Schlüssel in der Tasche.	bag	I have the keys in my pocket.	[sound:word_A21529.mp3]	[sound:sentence_A21529.mp3]
A21530	Tasche	die	-n			Ich habe nicht viel Gepäck. Nur eine Tasche.	bag	I don't have much luggage. Just one bag.	[sound:word_A21530.mp3]	[sound:sentence_A21530.mp3]
A21531	Taschengeld	das	(Sg.)			Wie viel Taschengeld bekommen deine Kinder?	pocket money	How much pocket money do your children get?	[sound:word_A21531.mp3]	[sound:sentence_A21531.mp3]
A21532	Tasse	die	-n			Möchten Sie eine Tasse Kaffee?	cup	Would you like a cup of coffee?	[sound:word_A21532.mp3]	[sound:sentence_A21532.mp3]
A21533	tauschen				tauscht, hat getauscht	Können wir bitte die Plätze tauschen?	to exchange	Can we swap places, please?	[sound:word_A21533.mp3]	[sound:sentence_A21533.mp3]
A21534	austauschen				tauscht aus, hat ausgetauscht	Können wir unsere Adressen austauschen?	change / exchange	Can we exchange addresses?	[sound:word_A21534.mp3]	[sound:sentence_A21534.mp3]
A21535	Taxi	das	-s			Bitte rufen Sie mir ein Taxi.	taxi	Please call me a taxi.	[sound:word_A21535.mp3]	[sound:sentence_A21535.mp3]
A21536	Team	das	-s			Ich arbeite gern in einem Team.	team	I like working in a team.	[sound:word_A21536.mp3]	[sound:sentence_A21536.mp3]
A21537	Team	das	-s			Welches Fußballteam findest du am besten?	team	Which football team do you like best?	[sound:word_A21537.mp3]	[sound:sentence_A21537.mp3]
A21538	Tee	der	-s			Ich trinke morgens immer Tee.	tea	I always drink tea in the morning.	[sound:word_A21538.mp3]	[sound:sentence_A21538.mp3]
A21539	teilen				teilt, hat geteilt	Wollen wir die Pizza teilen?	to divide	Shall we share the pizza?	[sound:word_A21539.mp3]	[sound:sentence_A21539.mp3]
A21540	teilen				teilt, hat geteilt	Mein Mann und ich teilen uns die Arbeit.	to divide	My husband and I share the work.	[sound:word_A21540.mp3]	[sound:sentence_A21540.mp3]
A21541	teilnehmen				nimmt teil, hat teilgenommen	Ich möchte an dem Tanzkurs teilnehmen.	to participate / to take part	I would like to take part in the dance course.	[sound:word_A21541.mp3]	[sound:sentence_A21541.mp3]
A21542	Telefon	das	-e			Darf ich bitte Ihr Telefon benutzen?	phone	May I use your phone, please?	[sound:word_A21542.mp3]	[sound:sentence_A21542.mp3]
A21543	telefonieren				telefoniert, hat telefoniert	Ich muss kurz telefonieren.	to phone (so.)	I need to make a quick phone call.	[sound:word_A21543.mp3]	[sound:sentence_A21543.mp3]
A21544	Teller	der	-			Möchtest du noch einen Teller Suppe?	plate	Would you like another bowl of soup?	[sound:word_A21544.mp3]	[sound:sentence_A21544.mp3]
A21545	Teller	der	-			Stell die Teller bitte auf den Tisch!	plate	Please put the plates on the table!	[sound:word_A21545.mp3]	[sound:sentence_A21545.mp3]
A21546	Tennis	das	(Sg.)			Steffi spielt sehr gut Tennis.	tennis	Steffi plays very good tennis.	[sound:word_A21546.mp3]	[sound:sentence_A21546.mp3]
A21547	Termin	der	-e			Am besten machen wir sofort einen Termin.	meeting	It's best to make an appointment right away.	[sound:word_A21547.mp3]	[sound:sentence_A21547.mp3]
A21548	Termin	der	-e			Ich habe heute einen Termin bei meiner Zahnärztin.	meeting	I have an appointment with my dentist today.	[sound:word_A21548.mp3]	[sound:sentence_A21548.mp3]
A21549	teuer					Das ist mir zu teuer.	expensive	That's too expensive for me.	[sound:word_A21549.mp3]	[sound:sentence_A21549.mp3]
A21550	Text	der	-e			Lesen Sie bitte den Text.	text	Please read the text.	[sound:word_A21550.mp3]	[sound:sentence_A21550.mp3]
A21551	Theater	das	-			Ich gehe nicht gern ins Theater.	theatre	I don't like going to the theatre.	[sound:word_A21551.mp3]	[sound:sentence_A21551.mp3]
A21552	Thema	das	-en			Heute heißt unser Thema: „Essen und Trinken“.	subject / topic	"Today our theme is ""Food and drink""."	[sound:word_A21552.mp3]	[sound:sentence_A21552.mp3]
A21553	Ticket	das	-s			Wie viel kostet das Ticket?	ticket	How much does the ticket cost?	[sound:word_A21553.mp3]	[sound:sentence_A21553.mp3]
A21554	tief					Vorsicht, das Wasser ist tief!	deep	Be careful, the water is deep!	[sound:word_A21554.mp3]	[sound:sentence_A21554.mp3]
A21555	Tier	das	-e			Wir dürfen keine Tiere in der Wohnung haben.	animal	We are not allowed to have animals in the flat.	[sound:word_A21555.mp3]	[sound:sentence_A21555.mp3]
A21556	Tier	das	-e			Meine Lieblingstiere sind Katzen.	animal	My favourite animals are cats.	[sound:word_A21556.mp3]	[sound:sentence_A21556.mp3]
A21557	Tipp	der	-s			Kannst du mir einen guten Tipp geben?	tip	Can you give me a good tip?	[sound:word_A21557.mp3]	[sound:sentence_A21557.mp3]
A21558	Tisch	der	-e			Das Essen steht schon auf dem Tisch.	table	The food is already on the table.	[sound:word_A21558.mp3]	[sound:sentence_A21558.mp3]
A21559	Titel	der	-			Wie heißt der Film? - Ich weiß den Titel nicht mehr.	title	What's the name of the film? - I can't remember the title.	[sound:word_A21559.mp3]	[sound:sentence_A21559.mp3]
A21560	Toilette	die	-n			Wo ist die Toilette, bitte?	toilet	Where is the toilet, please?	[sound:word_A21560.mp3]	[sound:sentence_A21560.mp3]
A21561	toll					Der Urlaub war toll.	great	The holiday was great.	[sound:word_A21561.mp3]	[sound:sentence_A21561.mp3]
A21562	Tomate	die	-n			Die Tomate ist noch grün.	tomato	The tomato is still green.	[sound:word_A21562.mp3]	[sound:sentence_A21562.mp3]
A21563	Topf	der	"""-e"			Hast du keinen größeren Topf? Ich möchte Kartoffeln kochen.	pot	Don't you have a bigger pot? I want to cook potatoes.	[sound:word_A21563.mp3]	[sound:sentence_A21563.mp3]
A21564	Torte	die	-n			Zum Geburtstag backe ich dir eine Torte.	cake	I'll bake you a cake for your birthday.	[sound:word_A21564.mp3]	[sound:sentence_A21564.mp3]
A21565	tot					Meine Großeltern sind schon lange tot.	dead	My grandparents have been dead for a long time.	[sound:word_A21565.mp3]	[sound:sentence_A21565.mp3]
A21566	total					Der Film ist total langweilig.	total	The film is totally boring.	[sound:word_A21566.mp3]	[sound:sentence_A21566.mp3]
A21567	Tour	die	-en			Wo kann ich eine Stadttour buchen?	trip	Where can I book a city tour?	[sound:word_A21567.mp3]	[sound:sentence_A21567.mp3]
A21568	Tour	die	-en			Wir gehen am Wochenende wandern. Ich kenne eine schöne Tour in den Bergen.	trip	We're going hiking at the weekend. I know a nice tour in the mountains.	[sound:word_A21568.mp3]	[sound:sentence_A21568.mp3]
